seed	n_docs	lang	bytes_gmean	bytes_gstd	bytes_total	chars_gmean	chars_gstd	chars_total	tresholded_vocab	vocab_size	words_gmean	words_gstd	words_total
1708168856	1000	ru	15441.5136918358	3.94665836036103	33967703	8604.81378471431	3.94103896586589	18848505	22701	257131	1488.78970475833	3.91096537777423	3218158
1708168856	5000	arz	1024.05595944521	3.4634946009982	13833242	585.005087802798	3.47463432216989	7900935	14261	150319	115.589467640419	3.51528023464601	1582395
1708168857	1000	de	11432.3956599219	3.95590905672301	24059100	11233.7027213922	3.95624267632378	23640904	18140	277694	1890.22619968267	3.93891632336548	3905186
1708168857	1000	fr	9855.04611786525	4.41054632147436	23464304	9533.73091799884	4.41231772568069	22705614	12623	170788	1769.79444193607	4.42780137557685	4196077
1708168860	1000	es	6694.58933629664	4.40519683675278	16734698	6564.54576030183	4.40221329422811	16397830	11279	148009	1233.89772054789	4.47192284897018	3079930
1708168860	1000	zh	7486.6777392697	4.01062147511425	16324837	2862.05822502009	3.95467418795964	6080831	11724	132093	1682.07717250876	4.03505753466109	3677378
1708168863	1000	pt	7235.35854001646	4.77702144362735	18180818	7010.91189175647	4.78649318910171	17640626	10436	136177	1320.2386621875	4.761463434218	3292121
1708168863	5000	arz	1026.1111046977	3.43666466312771	13579196	585.957566843493	3.44712726096246	7751630	14079	147865	115.878148030884	3.48890674799483	1555492
1708168865	1000	ja	11316.547841189	3.82732279796443	23128570	4357.71191097713	3.77437610751846	8761677	8812	121930	2279.01409189191	3.8766510389084	4702347
1708168868	5000	ceb	287.785724287606	1.71455464791315	1936180	286.583772846597	1.71596326114286	1929693	1070	26160	55.8319065873146	1.70136045891469	374473
1708168869	5000	arz	1026.00468859319	3.45876190393857	13923554	585.98809462314	3.46949379235797	7951260	14406	151723	115.814390977116	3.50834376927129	1591033
1708168869	5000	ceb	287.525482768002	1.71078963788733	1916535	286.327478574222	1.71219561375916	1910085	1051	25572	55.7889578913511	1.69771490937805	371400
1708168871	1000	ru	15092.2270208077	3.8752633862055	32496819	8403.95257975849	3.86955101816633	18028811	22015	252620	1455.85640810541	3.83559829243188	3080606
1708168871	5000	ceb	286.879717595375	1.70838300049728	1920754	285.690930089108	1.7097803612642	1914427	1056	26019	55.6623795474762	1.69428653938522	371314
1708168872	5000	ceb	287.385747883006	1.71415866947661	1930547	286.193773775322	1.71554525167382	1924130	1059	26054	55.7568547951289	1.70059288121883	373416
1708168873	1000	de	11090.9866548833	4.08209268805771	24175931	10899.1221074257	4.08336450033276	23759057	18192	270855	1831.39668509059	4.06731057047059	3933050
1708168873	1000	es	6918.47950917004	4.50352733222242	17426908	6781.76821089881	4.5018742157263	17071340	11433	152970	1272.80594836483	4.57216946692551	3209205
