metric,score,lang,partition,task
recall,0.8264503441494592,tw,entropy_lo,masakhapos
f1,0.8226504379658277,tw,entropy_lo,masakhapos
precision,0.6410274699231289,tw,entropy_lo,sib200
recall,0.6421568627450981,tw,entropy_lo,sib200
f1,0.6415916693173895,tw,entropy_lo,sib200
precision,0.6270148137225856,tw,entropy_lo,AfriSenti-Twitter
recall,0.6375131717597471,tw,entropy_lo,AfriSenti-Twitter
f1,0.6322204130328712,tw,entropy_lo,AfriSenti-Twitter
precision,0.7599306335360243,ln,entropy_lo,masakhanews
recall,0.7714285714285715,ln,entropy_lo,masakhanews
f1,0.7656364373727168,ln,entropy_lo,masakhanews
precision,0.5171303133785958,ln,entropy_lo,sib200
recall,0.5392156862745098,ln,entropy_lo,sib200
f1,0.5279421267527155,ln,entropy_lo,sib200
precision,0.8185745140388769,lg,entropy_lo,masakhaner2
recall,0.8359064843405382,lg,entropy_lo,masakhaner2
f1,0.8271497162811,lg,entropy_lo,masakhaner2
precision,0.889090118523332,lg,entropy_lo,masakhapos
recall,0.8955670103092783,lg,entropy_lo,masakhapos
f1,0.8923168114228227,lg,entropy_lo,masakhapos
precision,0.8761276707992613,lg,entropy_lo,masakhanews
recall,0.874439461883408,lg,entropy_lo,masakhanews
f1,0.8752827523053316,lg,entropy_lo,masakhanews
precision,0.5189989461968363,lg,entropy_lo,sib200
recall,0.5098039215686274,lg,entropy_lo,sib200
f1,0.5143603431740245,lg,entropy_lo,sib200
precision,0.6945031712473573,lg,entropy_lo,masakhaner
recall,0.7711267605633803,lg,entropy_lo,masakhaner
f1,0.7308120133481646,lg,entropy_lo,masakhaner
precision,0.7003610108303249,wo,entropy_lo,masakhaner2
recall,0.7652859960552268,wo,entropy_lo,masakhaner2
f1,0.7313854853911403,wo,entropy_lo,masakhaner2
precision,0.9226507026187349,wo,entropy_lo,masakhapos
recall,0.9235639461263958,wo,entropy_lo,masakhapos
f1,0.9231070985012928,wo,entropy_lo,masakhapos
precision,0.45405623197322115,wo,entropy_lo,sib200
recall,0.45098039215686275,wo,entropy_lo,sib200
f1,0.452513085320442,wo,entropy_lo,sib200
precision,0.4638655462184874,wo,entropy_lo,masakhaner
recall,0.5433070866141733,wo,entropy_lo,masakhaner
f1,0.500453309156845,wo,entropy_lo,masakhaner
precision,0.7813751364346876,om,entropy_lo,masakhanews
recall,0.7815384615384615,om,entropy_lo,masakhanews
f1,0.7814567904528048,om,entropy_lo,masakhanews
precision,0.7365158090514569,tn,entropy_lo,masakhaner2
recall,0.7888446215139442,tn,entropy_lo,masakhaner2
f1,0.76178262263546,tn,entropy_lo,masakhaner2
precision,0.8817369836064185,tn,entropy_lo,masakhapos
recall,0.8835359544749095,tn,entropy_lo,masakhapos
f1,0.8826355523846285,tn,entropy_lo,masakhapos
precision,0.5717027014567583,tn,entropy_lo,sib200
recall,0.5980392156862745,tn,entropy_lo,sib200
f1,0.584574477795887,tn,entropy_lo,sib200
precision,0.8549356223175966,ny,entropy_lo,masakhaner2
recall,0.86558516801854,ny,entropy_lo,masakhaner2
f1,0.8602274363034403,ny,entropy_lo,masakhaner2
precision,0.790378083314508,ny,entropy_lo,masakhapos
recall,0.800977795885109,ny,entropy_lo,masakhapos
f1,0.7956426382859892,ny,entropy_lo,masakhapos
precision,0.5656564014494686,ny,entropy_lo,sib200
recall,0.5588235294117647,ny,entropy_lo,sib200
f1,0.5622192055490917,ny,entropy_lo,sib200
precision,0.7483647556752597,ee,entropy_lo,masakhaner2
recall,0.8311965811965812,ee,entropy_lo,masakhaner2
f1,0.7876088276979145,ee,entropy_lo,masakhaner2
precision,0.8837401097786143,ee,entropy_lo,masakhapos
recall,0.8786606887341409,ee,entropy_lo,masakhapos
f1,0.881193079548463,ee,entropy_lo,masakhapos
precision,0.5809606051574738,ee,entropy_lo,sib200
recall,0.5784313725490197,ee,entropy_lo,sib200
f1,0.5796932300720448,ee,entropy_lo,sib200
precision,0.7122026093630084,bm,entropy_lo,masakhaner2
recall,0.7100229533282326,bm,entropy_lo,masakhaner2
f1,0.711111111111111,bm,entropy_lo,masakhaner2
precision,0.8889868389234209,bm,entropy_lo,masakhapos
recall,0.8921797004991681,bm,entropy_lo,masakhapos
f1,0.8905804080010568,bm,entropy_lo,masakhapos
precision,0.45219261867665606,bm,entropy_lo,sib200
recall,0.46568627450980393,bm,entropy_lo,sib200
