score,lang,partition,task
0.8370312260458096,vi,fraction_hi,sib200
0.8476293175005759,vi,entropy_lo,sib200
0.8351495759498122,vi,entropy_hi,sib200
0.5415950908888273,war,raw_wiki,sib200
0.5272617885604519,war,pre_filtered,sib200
0.4604341460905118,war,thresholded_wiki,sib200
0.45871913846566925,war,absolute_lo,sib200
0.5089455386654633,war,absolute_hi,sib200
0.530838346764494,war,fraction_lo,sib200
0.4961862066820856,war,fraction_hi,sib200
0.45620306499365626,war,entropy_lo,sib200
0.5973946779790782,war,entropy_hi,sib200
0.7852186547132944,tt,raw_wiki,sib200
0.7560172295318858,tt,pre_filtered,sib200
0.7719003272566878,tt,thresholded_wiki,sib200
0.7208215061997343,tt,absolute_lo,sib200
0.6990254426153978,tt,absolute_hi,sib200
0.7551814844757062,tt,fraction_lo,sib200
0.6863885299693626,tt,fraction_hi,sib200
0.6955595438410239,tt,entropy_lo,sib200
0.6909713587974888,tt,entropy_hi,sib200
0.5294220468106247,azb,raw_wiki,sib200
0.5224565424879506,azb,pre_filtered,sib200
0.5402378957722509,azb,thresholded_wiki,sib200
0.4434333288528995,azb,absolute_lo,sib200
0.5672058463525151,azb,absolute_hi,sib200
0.5620582284690093,azb,fraction_lo,sib200
0.4850920229237543,azb,fraction_hi,sib200
0.45878217630284673,azb,entropy_lo,sib200
0.4603269203055431,azb,entropy_hi,sib200
0.7971313873538033,ro,raw_wiki,sib200
0.7882043626342079,ro,pre_filtered,sib200
0.8255648616454352,ro,thresholded_wiki,sib200
0.8051539095130489,ro,absolute_lo,sib200
0.8062573407753159,ro,absolute_hi,sib200
0.8034712861399104,ro,fraction_lo,sib200
0.8152860581485278,ro,fraction_hi,sib200
0.8111330527438181,ro,entropy_lo,sib200
0.8197434693290473,ro,entropy_hi,sib200
0.8403211944792434,id,raw_wiki,sib200
0.8544023390090157,id,pre_filtered,sib200
0.8243396167088439,id,thresholded_wiki,sib200
0.8649761435070237,id,absolute_lo,sib200
0.8191579830429411,id,absolute_hi,sib200
0.8257858596561969,id,fraction_lo,sib200
0.8180613070615669,id,fraction_hi,sib200
0.8402471783047244,id,entropy_lo,sib200
0.8131619376428099,id,entropy_hi,sib200
0.8200165264585942,hu,raw_wiki,sib200
0.8228965459295808,hu,pre_filtered,sib200
0.8496350923068625,hu,thresholded_wiki,sib200
0.8178751901674609,hu,absolute_lo,sib200
0.8499946319745932,hu,absolute_hi,sib200
0.8401493727579202,hu,fraction_lo,sib200
0.8144968480788324,hu,fraction_hi,sib200
0.8343813042385413,hu,entropy_lo,sib200
0.8058161150564155,hu,entropy_hi,sib200
0.8355293371772455,nl,raw_wiki,sib200
0.8040343147428711,nl,pre_filtered,sib200
0.8399200550077416,nl,thresholded_wiki,sib200
0.8441200416122523,nl,absolute_lo,sib200
0.814506813898985,nl,absolute_hi,sib200
0.8226621798868287,nl,fraction_lo,sib200
0.8222159285215879,nl,fraction_hi,sib200
0.8347022756747742,nl,entropy_lo,sib200
0.7745318307566884,nl,entropy_hi,sib200
0.8602436513071309,uk,raw_wiki,sib200
0.8464645233036944,uk,pre_filtered,sib200
0.8484859126785695,uk,thresholded_wiki,sib200
0.8288190448304089,uk,absolute_lo,sib200
0.8190032757592197,uk,absolute_hi,sib200
0.8458575132666316,uk,fraction_lo,sib200
0.8328825052959908,uk,fraction_hi,sib200
0.8237629469176001,uk,entropy_lo,sib200
0.8196720975060248,uk,entropy_hi,sib200
0.39545383140626295,ceb,raw_wiki,sib200
0.48272821061912413,ceb,pre_filtered,sib200
0.5058355761341545,ceb,thresholded_wiki,sib200
0.4847561555804472,ceb,absolute_lo,sib200
0.5264701370654106,ceb,absolute_hi,sib200
0.5591645625656946,ceb,fraction_lo,sib200
0.49961122558967475,ceb,fraction_hi,sib200
0.5447344174605082,ceb,entropy_lo,sib200
0.5350564032707184,ceb,entropy_hi,sib200
0.6882325171931403,min,raw_wiki,sib200
0.600471579947374,min,pre_filtered,sib200
0.5100705641511785,min,thresholded_wiki,sib200
0.4762546046357129,min,absolute_lo,sib200
0.4961924627544244,min,absolute_hi,sib200
0.5176531314624375,min,fraction_lo,sib200
0.4481336656510477,min,fraction_hi,sib200
0.47606679670095714,min,entropy_lo,sib200
0.4802498981204829,min,entropy_hi,sib200
