id,trigrams
680,150
681,115
682,298
683,183
684,417
685,15
686,142
687,18
688,64
689,98
690,130
691,79
692,101
693,66
694,73
695,184
696,76
697,93
698,54
699,197
700,298
701,116
702,30
704,68
705,48
706,90
707,234
708,154
709,611
710,387
711,26
712,690
714,25
715,137
716,109
717,241
718,24
719,1091
720,179
721,78
722,274
724,16
725,49
726,33
727,67
728,142
729,46
730,168
731,187
732,16
734,242
736,50
737,498
738,20
739,1004
740,17
742,404
743,99
744,165
745,457
746,52
747,130
748,409
749,332
790,33
791,110
792,352
793,400
794,107
797,279
798,426
799,106
800,109
801,121
802,54
803,79
805,88
807,86
809,129
810,119
811,128
812,56
813,163
814,177
815,33
816,120
817,253
818,122
819,82
820,30
822,295
823,305
824,147
825,604
826,33
827,175
828,80
829,178
830,291
831,95
832,353
834,48
835,169
836,230
837,230
838,78
840,144
841,200
842,136
844,80
845,217
846,182
847,1166
848,109
849,143
850,206
851,661
853,462
854,119
855,35
856,16
857,48
858,193
859,540
860,364
861,20
862,488
863,144
864,310
865,144
866,81
867,178
868,319
869,230
870,201
871,156
872,158
873,74
874,69
875,47
876,125
877,194
878,251
879,58
880,75
881,246
882,219
883,117
884,55
885,211
886,29
887,54
888,194
889,197
890,206
891,96
892,425
893,267
894,27
895,24
896,55
897,173
898,348
899,271
900,326
901,30
902,153
903,19
904,187
905,69
906,136
907,39
908,219
910,6
913,674
914,141
915,203
916,332
917,17
918,207
919,24
920,233
921,145
922,17
923,368
924,74
925,53
926,23
928,36
930,160
931,221
939,675
940,115
943,92
945,73
946,448
949,203
950,1148
952,135
954,112
1175,352
1176,46
1178,26
1179,557
1181,98
1182,104
1183,234
1184,1282
1192,51
1260,141
1269,395
1270,252
1272,210
1289,19
1290,137
1336,477
1384,50
1385,64
1406,312
1549,83
1553,107
1554,91
1555,4
1559,82
1560,1910
1561,59
1564,400
1565,51
1566,1210
1570,400
1571,280
1574,527
1575,254
1577,545
1578,185
1582,135
1583,155
1584,37
1586,93
1589,107
1590,369
1592,205
1593,102
1594,27
1595,241
1596,172
1597,281
1599,461
1601,84
1602,477
1603,347
1605,372
1607,206
1608,574
1609,75
1610,108
1612,67
1613,355
1614,341
1615,187
1616,521
1617,491
1618,141
1619,530
1620,376
1621,255
1622,12
1625,550
1626,27
1627,366
1629,96
1630,76
1631,221
1639,583
1640,377
1641,117
1642,108
1643,85
1644,233
1645,93
1646,422
1647,344
1651,684
1652,767
1654,383
1655,568
1656,436
1657,26
1659,37
1662,73
1663,492
1664,135
1665,91
1666,16
1669,339
1670,73
1671,89
1672,611
1673,104
1674,591
1675,28
1676,998
1677,133
1678,148
1679,756
1680,285
1681,124
1684,298
1685,398
1686,370
1687,361
1688,43
1689,337
1690,174
1691,148
1693,131
1695,326
1696,69
1698,383
1699,913
1700,294
1701,362
1702,136
1703,352
1704,320
1705,105
1707,544
1708,356
1709,270
1710,307
1711,405
1712,278
1716,170
1717,295
1718,959
1719,101
1720,398
1721,62
1722,257
1724,408
1725,68
1726,499
1727,365
1728,218
1729,319
1730,44
1731,375
1732,311
1733,279
1734,179
1735,236
