id,length
872,856
873,433
874,387
875,227
876,720
877,1141
878,1375
879,339
880,433
881,1515
882,1255
883,654
884,303
885,1072
886,151
887,283
888,1003
889,1110
890,1117
891,526
892,2165
893,1465
894,156
895,133
896,327
897,907
898,1833
899,1589
900,1872
901,190
902,788
903,101
904,1026
905,408
906,677
907,213
908,1256
910,38
913,3574
914,725
915,1180
916,1955
917,85
918,1099
919,149
920,1198
921,774
922,97
923,1839
924,402
925,304
926,146
928,182
930,926
931,1222
939,3615
940,579
943,555
945,379
946,2351
949,1178
950,6905
952,754
954,597
1175,1718
1176,229
1178,159
1179,2883
1181,544
1182,556
1183,1210
1184,6746
1192,287
1260,728
1269,2102
1270,1341
1272,1196
1289,137
1290,802
1336,2591
1384,279
1385,336
1406,1793
1549,405
1553,568
1554,471
1555,28
1559,477
1560,10510
1561,384
1564,2066
1565,347
1566,6725
1570,2045
1571,1555
1574,2783
1575,1288
1577,2989
1578,992
1582,732
1583,816
1584,217
1586,474
1589,618
1590,2173
1592,1159
1593,576
1594,166
1595,1389
1596,903
1597,1494
1599,2597
1601,430
1602,2572
1603,2006
1605,2106
1607,1224
1608,3294
1609,408
1610,633
1612,344
1613,2153
1614,1913
1615,1074
1616,3206
1617,2622
1618,727
1619,2978
1620,2018
1621,1408
1622,72
1625,2893
1626,161
1627,1850
1629,488
1630,416
1631,1138
1639,3040
1640,2140
1641,621
1642,641
1643,429
1644,1345
1645,450
1646,2182
1647,1859
1651,3514
1652,4081
1654,2267
1655,3021
1656,2385
1657,149
1659,223
1662,416
1663,2931
1664,742
1665,540
1666,96
1669,1667
1670,389
1671,577
1672,3152
1673,559
1674,3300
1675,172
1676,5966
1677,819
1678,834
1679,4249
1680,1658
1681,714
1684,1537
1685,2168
1686,2011
1687,2114
1688,237
1689,1643
1690,1013
1691,853
1693,752
1695,1815
1696,439
1698,2163
1699,4857
1700,1572
1701,1945
1702,700
1703,1918
1704,1784
1705,570
1707,3190
1708,2060
1709,1425
1710,1818
1711,2393
1712,1621
1716,1020
1717,1636
1718,4935
1719,546
1720,2169
1721,318
1722,1721
1724,2309
1725,353
1726,2507
1727,2019
1728,1086
1729,1959
1730,275
1731,2250
1732,1739
1733,1519
1734,938
1735,1445
1736,1651
1738,1341
1746,1541
1748,1680
1749,2257
1750,1776
1751,1693
1752,1504
1753,1391
1754,1896
1756,1754
1757,1449
1758,4650
1759,1683
1760,1593
1761,1502
1763,1704
1764,1762
1765,1686
1766,1991
1768,1817
1769,2806
1770,2007
1771,1920
1773,513
1774,2209
1775,1167
1776,1526
1777,1561
1778,1476
1779,1866
1780,1582
1781,2123
1782,1543
1783,1969
1784,1628
1785,2101
1786,2070
1787,101
1788,2052
1789,1769
1790,1636
1791,1781
1792,174
1797,2050
1800,3964
1801,1638
1802,862
1804,250
1805,1322
1807,1794
1808,158
1813,726
1817,456
1819,1251
1820,1650
1822,1855
1823,1526
1824,884
1826,1899
1827,995
1828,1441
1831,1941
1832,1810
1833,1067
1838,1824
1839,1825
1840,316
1841,1991
1842,1521
1843,1776
1845,262
1847,1615
1848,136
1850,225
1854,2218
1855,733
1856,100
1857,903
1861,809
1862,60
1864,1451
1868,1800
1869,1595
1870,1633
1871,1396
1872,1115
1874,328
1877,1601
1878,2074
1879,1912
1881,1701
1882,2093
1883,1982
1884,2775
1885,1786
1886,1338
1887,205
1889,729
1890,1584
1891,193
1893,1654
1894,2607
1895,1930
1896,1494
1897,1377
1898,1432
1899,1549
1902,197
1903,1272
1904,750
1905,1302
1907,2179
1908,359
1910,546
1914,2275
1915,704
1917,1891
1920,192
1922,159
1923,379
1924,1508
1925,2875
1926,344
1927,266
1928,1600
1929,792
1930,670
1931,3087
1932,1305
1933,1624
1934,682
1935,1165
1936,1696
1938,1560
1939,5412
1940,1327
1941,706
1942,629
1943,340
1944,488
1945,1349
1946,1088
1947,15777
1948,3957
1949,2760
1950,864
1951,4136
1955,1363
1957,931
1958,4490
1961,2576
1963,576
1964,205
1966,1749
1967,1595
1968,3407
1969,375
1973,1735
1974,5312
1975,2113
1976,419
1977,1520
1978,2253
1979,2869
1980,1927
1981,6623
1982,2480
1985,981
