id,trigrams
3782,205
3783,58
3796,748
3802,292
3805,573
3809,110
3821,234
3825,88
3826,192
3846,72
3882,37
3883,170
3885,41
3886,107
3887,127
3888,699
3896,32
3897,912
3906,41
3908,7
3910,5
3916,467
3917,278
3925,89
3955,79
3962,256
3966,107
3967,54
3981,811
3999,1133
4005,60779
4016,433
4023,100
4028,137
4031,181
4035,91
4043,439
4044,280
4045,271
4055,51
4058,643
4065,99
4071,488
4083,16
4085,292
4088,658
4099,33328
4109,102
4112,54
4113,471
4118,106
4120,81
4130,55
4135,666
4137,683
4138,1283
4139,4688
4157,88
4159,59
4162,293
4168,96
4173,812
4178,111
4183,71
4191,38
4198,161
4203,1860
4221,56
4225,831
4227,273
4228,486
4237,141
4247,131
4250,157
4263,146
4268,2074
4281,1234
4286,79
4290,783
4292,85
4296,214
4310,27
4341,593
4356,110
4357,139
4361,4
4363,536
4385,524
4386,36
4392,83
4413,298
4422,1316
4432,526
4438,952
4451,381
4452,49
4459,259
4466,569
4485,542
4488,1912
4490,196
4497,1441
4524,447
4553,509
4554,120
4559,366
4566,1173
4572,853
4574,74
4581,2175
4589,1324
4590,305
4615,358
4635,808
4638,33
4652,212
4667,1201
4668,191
4670,6428
4671,1216
4674,54
4675,161
4677,61
4678,80
4679,1193
4680,453
4681,1069
4682,172
4684,424
4685,260
4686,154
4687,63
4688,476
4699,996
4711,10
4724,220
4727,671
4742,28
4750,177
4784,318
4787,4111
4789,210
4797,3066
4808,208
4811,589
4825,9
4826,48
4838,45
4839,223
4843,315
4845,219
4846,576
4848,1824
4849,1426
4850,255
4854,102
4858,14
4865,424
4885,88
4886,3132
4889,1251
4895,940
4909,314
4912,1073
4913,797
4914,260
4915,3892
4916,1091
4917,81
4918,160
4920,126
4921,71
4922,31
4923,109
4924,69
4925,211
4926,273
4927,961
4928,22932
4929,162
4931,1851
4938,703
4948,3729
4953,286
4956,443
4977,342
4978,278
4984,151
4985,162
4986,679
4989,302
4994,300
4998,239
4999,81
5000,76
5002,49
5003,75
5004,81
5005,62
5006,53
5007,137
5008,69
5009,81
5010,84
5011,70
5012,156
5013,89
5014,73
5015,58
5016,63
5017,1034
5018,123
5019,54
