id,length
66556,2605
39860,1726
65924,154
76022,2944
26444,2756
78024,4028
36613,4416
37344,1619
96108,548
54582,3295
41605,456
99070,436
80771,1940
50291,2228
47932,1516
34026,23084
41603,925
96422,1081
43681,272
76279,2419
96876,1221
48071,1153
37636,1063
98527,2216
37135,1295
44410,525
74067,1832
43013,1807
40608,4455
56268,3052
82418,2442
66270,2098
98304,1366
32007,901
96962,1761
73268,998
53764,4782
68133,2137
74873,1135
73955,2691
60932,775
83152,6319
25624,4867
83047,17160
96447,2830
74029,1703
60575,5595
85791,3518
5150,7478
41266,3383
98048,643
74170,3399
62684,4244
9882,179
34138,928
74400,2435
7559,1626
60569,1312
58962,2041
66387,1786
87513,2258
41999,1477
42868,1063
69661,1171
40815,1103
34213,3013
98212,1581
64402,553
54910,3455
25481,20556
60602,699
6442,595
32019,274
60270,128
55358,10669
52347,795
62706,1454
56911,1158
23132,3382
41032,1591
52516,6038
79518,659
77841,638
50647,3037
28569,2127
4744,15037
68422,2404
54691,3608
32602,553
59381,995
36230,2337
82522,638
69679,406
37029,1592
54103,8059
41202,838
42286,781
59564,4787
64039,1070
68056,2251
56669,2235
85680,3403
45005,3037
76536,425
36164,1634
72641,1332
35346,13900
76894,3866
75150,9551
71639,395
78914,4620
62582,1266
41611,2160
25549,3251
4715,3083
79655,4316
66567,2669
37941,2511
4113,2290
71538,3497
74809,2495
85081,2235
82229,1626
79849,2994
24351,2152
41188,1813
35491,2878
41628,2045
50729,2060
87253,2581
75144,2105
43695,273
72803,2806
52631,1809
75257,2291
42268,278
43040,1436
9898,1081
43511,411
69539,705
41022,2332
87763,273
96083,2083
39259,1600
40092,3491
57552,2211
34069,231
87283,254
75404,1583
60504,902
61611,1207
26319,2283
74210,1741
51071,1528
2260,510
84269,881
75896,14459
35905,2715
60168,429
42421,2959
40761,1214
63016,489
54009,2650
38038,1121
36991,1803
4468,2802
98722,1363
83835,1209
26475,2962
52180,546
86511,4560
24410,1097
37217,3092
96298,474
70972,4007
69099,1399
84578,4575
85895,3687
72609,287
33000,3316
71248,1667
70926,1237
52429,1244
59669,4946
85034,1172
40843,2449
97993,1532
71985,726
77536,419
95982,3613
95989,6701
34656,2843
60682,1685
73301,556
30449,1259
58582,2858
60038,1828
36273,1395
41342,418
41389,1119
49338,954
81592,2935
73609,1198
31810,3843
84261,1162
39022,1676
32907,1237
